STT,Scholarship_Name,Scholarship_Type,Country
52,International Undergraduate Excellence Award – University of Nottingham,Trường,Vương Quốc Anh
53,Inspiring Excellence Undergraduate Scholarship – Durham University,Trường,Vương Quốc Anh
54,UdeM Exemption Scholarship for International Students – Université de Montréal,Trường,Canada
55,Entrance Scholarships – McGill University,Trường,Canada
56,International Student Entrance Scholarship – University of Waterloo,Trường,Canada
57,President’s Scholars of Excellence Program – University of Toronto,Trường,Canada
58,Sydney International Undergraduate Academic Excellence Scholarship – University of Sydney,Trường,Úc
59,Taiwan Scholarship Program (MOE),Chính phủ,Đài Loan
60,HKSAR Government Scholarship Fund (Outstanding Performance),Chính phủ,Hồng Kông
61,MAECI Scholarship (Study in Italy Grant - Short-term/Living Allowance),Chính phủ,Ý
62,University of Hong Kong Scholarships (General International Awards),Trường,Hồng Kông
63,ICSP Scholarships at University of Oregon,Trường,Mỹ
64,University of Calgary International Entrance Scholarship,Trường,Canada
65,Griffith Vice Chancellor’s International Scholarship,Trường,Úc
66,Dr. Elemér and Éva Kiss Scholarship Fund,Quỹ và Tổ chức,Mỹ
67,IAPD Scholarship,Quỹ và Tổ chức,Mỹ
68,Stantec Future Leaders Scholarship,Quỹ và Tổ chức,Mỹ
69,WGA Evans Scholars Program,Quỹ và Tổ chức,Mỹ
70,CIEE College Study Abroad Scholarships,Quỹ và Tổ chức,Mỹ
71,Hubert Humphrey Fellowships,Chính phủ,Mỹ
72,Civil Society Leadership Awards,Quỹ và Tổ chức,Mỹ
73,Monash International Merit Scholarship,Trường,Úc
74,Adelaide Global Citizens Scholarship,Trường,Úc
75,University of Western Australia Global Excellence Scholarship,Trường,Úc
76,York University International Entrance Scholarship,Trường,Canada
77,Western University International Admission Scholarships,Trường,Canada
78,QuestBridge National College Match,Quỹ và Tổ chức,Mỹ
79,Coca-Cola Scholars Program,Quỹ và Tổ chức,Mỹ
80,Dell Scholars Program,Quỹ và Tổ chức,Mỹ
81,University of Bologna Study Grants for International Students,Trường,Ý
82,Bocconi Merit and International Awards,Trường,Ý
83,Tsinghua University Scholarships,Trường,Trung Quốc
84,Peking University Scholarships,Trường,Trung Quốc
85,Singapore Management University Scholarships,Trường,Singapore
86,ACI Foundation Scholarship,Quỹ và Tổ chức,Mỹ
87,AAUW International Fellowship Program,Quỹ và Tổ chức,Mỹ
88,GREAT Scholarships,Chính phủ,Anh
89,Swedish Institute Scholarships for Global Professionals,Chính phủ,Thụy Điển
90,University of New South Wales International Scholarships,Trường,Úc
91,Vanier Canada Graduate Scholarships,Chính phủ,Canada
92,Zawadi Africa Education Fund,Quỹ và Tổ chức,Mỹ
