Scholarship_Name,Tổ chức cấp học bổng,Loại học bổng,Mức tài trợ,Chi tiết tài trợ,Hình thức mở đơn,Tháng mở đơn (thường niên),Ngày bắt đầu nhận hồ sơ,Ngày kết thúc nộp hồ sơ,Số lượng suất (nếu có),Dành cho sinh viên Việt Nam,Giới hạn đối tượng,Danh sách giới hạn đối tượng (nếu có),Giới hạn ngành nghề,Danh sách nhóm ngành / ngành cụ thể,Bằng cấp yêu cầu,GPA tối thiểu,Yêu cầu xếp hạng / liên quan ngành học,Kinh nghiệm yêu cầu,Năng lực & thành tích (requirements.competencies),Điều kiện gia hạn học bổng,Hồ sơ yêu cầu,Quy trình nộp hồ sơ,Liên kết học bổng (URL),Ghi chú (nếu có),Thường niên (Có/Không/Chưa rõ),% SV toàn trường nhận hỗ trợ tài chính,Mức hỗ trợ trung bình toàn trường,,,
KU Leuven ASEAN Scholarship,KU Leuven,Trường,Miễn 100% học phí + €4.000 trợ cấp (một lần),Dành cho chương trình Master/Advanced Master; 1 suất/năm; do Quỹ Học bổng Quốc tế KU Leuven tài trợ,Đơn riêng trên cổng học bổng KU Leuven,10,15/10,15/01,1 suất/năm,Có,Công dân Đông Nam Á (bao gồm Việt Nam),"ASEAN (Brunei, Cambodia, Indonesia, Laos, Malaysia, Myanmar, Philippines, Thailand, Vietnam)",Có,Các chương trình Master/Advanced Master đủ điều kiện,THPT (hoặc tương đương) + đỗ KU Leuven (theo chương trình),Không nêu,Hồ sơ học thuật mạnh,—,"Thành tích học thuật, động lực, phù hợp chương trình",Theo điều kiện học bổng; áp dụng cho thời gian chương trình,Đơn online + hồ sơ học thuật + (có thể) tham chiếu,Tạo “scholarship candidacy” → chọn chương trình đủ điều kiện → nộp trước 15/01,https://www.kuleuven.be/scholarships/year/2026-2027/ku-leuven-asean-scholarship,Trang năm 2026–27 mở 15/10; có danh sách chương trình đủ điều kiện,Có,Chưa công bố,Chưa công bố,,,
Mastercard Foundation Scholars Program,,,,,,,,,,,,,,,THPT (hoặc tương đương) + trúng tuyển trường đối tác MCF + điều kiện tài chính/xã hội,,,,,,,,,,,,,,,
Generation Google Scholarship (APAC),EMEA,NA),Google (vận hành cùng IIE),Quỹ / Tổ chức,APAC: USD 2.500; EMEA: ~EUR 7.000; NA: USD 10.000 (một năm),Hỗ trợ 1 năm học; xét theo thành tích học thuật,lãnh đạo và/hoặc nhu cầu tài chính; một số khu vực ưu tiên nữ ngành CNTT,Đơn trực tuyến theo khu vực (APAC/EMEA/NA),APAC: 2–4; EMEA: 3–5; NA: 12–1,Tuỳ thông báo khu vực,Tuỳ thông báo khu vực,Chưa công bố,Có,Theo khu vực trường đang theo học (APAC/EMEA/NA); một số nhánh dành cho nữ ngành CS,THPT (hoặc tương đương) + đang/chuẩn bị học CS/related (có thể đang là SV),Có,"Khoa học máy tính, Kỹ thuật phần mềm, hoặc ngành liên quan",Cử nhân/Thạc sĩ,Không nêu,Đủ điều kiện chương trình đào tạo CS/related,Hoạt động/đóng góp cộng đồng/tech,"Học thuật tốt, lãnh đạo, cam kết đa dạng & công bằng","Theo thư mời trao học bổng (1 năm, có thể nộp lại mùa sau nếu đủ điều kiện)",Đơn online + bảng điểm + CV + bài luận; có thể yêu cầu minh chứng tài chính,Nộp trên cổng khu vực (Google/IIE) theo lịch,https://www.google.com/about/careers/applications/buildyourfuture/scholarships/generation-google-scholarship-apac,Số tiền khác nhau theo khu vực,Có,Không áp dụng,Không áp dụng
Shell Scholarship (Undergraduate) – Malaysia,Shell Malaysia,Quỹ / Tổ chức,Tài trợ học phí + trợ cấp (theo mô tả chương trình); có lộ trình A-levels → ĐH,Tài trợ tiền học & phụ cấp khi học A-levels và bậc ĐH tại trường trong/ngoài nước; ngành ưu tiên Kỹ thuật/Khoa học/Thương mại,Đơn trực tuyến trên trang Shell Malaysia,4–5 (theo kết quả SPM),Theo ngày có kết quả SPM (tháng 4–5),Rolling trong đợt mở,Chưa công bố,Có,Cư trú/học tập tại Malaysia; đủ điều kiện làm việc tại quốc gia học bổng,—,Có,"Kỹ thuật, Khoa học dữ liệu/Địa chất, Kinh doanh/Marketing số",THPT (Malaysia) + đỗ ngành liên quan (điều kiện quốc tịch/khu vực),Điểm cao SPM/O-level (≈8A trở lên),—,"Hoạt động ngoại khoá, lãnh đạo","Học thuật tốt, lãnh đạo, phù hợp ngành năng lượng",Theo hợp đồng học bổng & tiêu chí tiến độ,Đơn online + bảng điểm + bài đánh giá nhiều vòng,Đăng ký trên cổng Shell → đánh giá nhiều vòng → offer,https://www.shell.com.my/about-us/careers/students-and-graduates/scholarships.html,Ví dụ nhánh Malaysia; Shell có nhiều nhánh theo quốc gia,Có,Không áp dụng,Không áp dụng,,,
Rotary District Grants (Potential Undergraduate Funding),Rotary International (qua các District),Quỹ / Tổ chức,Tuỳ quỹ từng District (có thể tài trợ học phí/nghiên cứu/ngắn hạn),District Grants có thể tài trợ bậc CĐ/ĐH/ Sau ĐH,thời lượng từ 6 tuần đến ≥1 năm; yêu cầu ứng tuyển qua Rotary địa phương,Ứng tuyển qua Rotary Club/District địa phương,Tuỳ District,Tuỳ District,Tuỳ District,Chưa công bố,Có,Phụ thuộc quy định District/Club; không dành cho Rotarian/ gia đình trực hệ,—,Không,THPT (hoặc tương đương) + theo tiêu chí quỹ Rotary địa phương,Cao đẳng/Cử nhân trở lên,Không nêu,Phù hợp lĩnh vực ưu tiên cộng đồng của Rotary,Hoạt động cộng đồng,"Cam kết phục vụ cộng đồng, đạo đức",Theo quy định tài trợ của District (báo cáo/tiến độ),Đơn theo mẫu District + thư giới thiệu Club,Liên hệ Rotary Club/District tại nơi cư trú để được bảo trợ nộp grant,https://www.rotary.org/en/our-programs/scholarships,Mức/chu kỳ thay đổi mạnh theo District,Có,Không áp dụng,Không áp dụng,,
Heinrich Böll Scholarships (All Levels),Heinrich Böll Stiftung (Đức),Quỹ / Tổ chức,SV quốc tế ngoài EU (đa số): ~€934/tháng (B/M) & €1.200/tháng + €100 mobility (PhD) + phụ cấp; EU/Đức: mức theo chuẩn BMBF + €300 sách,Tài trợ theo kỳ tiêu chuẩn; yêu cầu tiếng Đức (thường DSH-2/TestDaF B2) và cam kết xã hội–môi trường; không chi trả học phí ở Đức (một số ngoại lệ khi học ngoài Đức),Cổng nộp online của Quỹ,3–4 và/hoặc 9–10 (tuỳ đợt),Theo thông báo từng đợt,Theo thông báo từng đợt,~1.500 suất/năm (tổng B/M/PhD),Có,Mọi quốc tịch; học tại cơ sở được công nhận ở Đức; yêu cầu tiếng Đức,—,Không,Mọi ngành (ưu tiên phù hợp giá trị Quỹ),Không phải bậc Cử nhân (chủ yếu Master/PhD),Không nêu,Thành tích học thuật cao; tiếng Đức B2+,Hoạt động xã hội/chính trị,"Cam kết dân chủ, nhân quyền, sinh thái, công bằng",Theo quy định hằng năm; có thể gia hạn trong thời gian chuẩn chương trình,Đơn online + bằng chứng ngôn ngữ + CV + thư động lực + thư giới thiệu,Nộp trên cổng Quỹ theo lịch → sơ loại → phỏng vấn/đánh giá → kết quả,https://www.boell.de/en/scholarships,Mức chi tiết khác nhau theo đối tượng EU/Non-EU,Có,Không áp dụng,Không áp dụng,,,
Benjamin A. Gilman International Scholarship Program,U.S. Department of State (ECA) – IIE quản lý,Chính phủ,Tối đa USD 5.000 (+ tới USD 3.000 Critical Need Language; + USD 1.000 STEM bổ sung),Hỗ trợ SV Mỹ có Pell Grant đi du học/thực tập tín chỉ; ~3.000 suất/năm; 2 chu kỳ chính/năm (thường 10 & 3),Cổng nộp trực tuyến Gilman,1 & 8–10 (mỗi năm 2 chu kỳ),Giữa 1 (cho hạn tháng 3),Đầu 3 (ví dụ 05/03/2026) & đầu 10 (tuỳ năm),~3.000,Không,"Chỉ công dân/ quốc tịch Hoa Kỳ, đang nhận Pell Grant",—,Không,Mọi ngành (chương trình có tín chỉ),Đang là SV ĐH tại Mỹ + công dân/PR Mỹ (du học ngắn hạn),Không nêu,Đang nhận Pell Grant; điểm/tiến độ tốt,—,Bài luận thuyết phục; ưu tiên đa dạng/điểm đến ít phổ biến,Theo hướng dẫn giải thưởng; một lần/đời,Đơn online + bảng điểm + advisor certification,Đăng ký trên cổng → advisor xác nhận → xét chọn,https://www.gilmanscholarship.org/,Dành cho công dân Hoa Kỳ; đưa để tham chiếu chuẩn,Có,Không áp dụng,Không áp dụng,,,
Global Undergraduate Exchange Program (Global UGRAD),U.S. Department of State (ECA) – World Learning,Chính phủ,"Trao đổi 1 học kỳ: học phí, nhà ở, ăn ở, vé máy bay, bảo hiểm, trợ cấp hằng tháng",Không cấp bằng; yêu cầu còn ít nhất 1 năm ở trường tại nước sở tại sau khi kết thúc; mở theo quốc gia (có Việt Nam),Cổng World Learning/ĐSQ Mỹ từng nước,10–11 (VN thường 11),Theo thông báo (ví dụ 11/13/2024),Theo thông báo (cuối 12–1),Chưa công bố,Có,Công dân quốc gia tham gia; ≥18 tuổi; đang là SV ĐH chính quy; tiếng Anh đáp ứng (có thể bồi dưỡng),Danh sách nước tham gia (có Việt Nam),Không,Mọi ngành bậc Cử nhân (non-degree ở Mỹ),"Đang là SV ĐH (năm 1–3) tại nước sở tại (trao đổi, không cấp bằng)",Không nêu,Đang học toàn thời gian; còn 1 năm ở trường nhà,Hoạt động cộng đồng,"Học thuật tốt, đóng góp cộng đồng, khả năng thích nghi",Không gia hạn (1 kỳ),Đơn online + bảng điểm + bài luận + tài liệu phụ trợ,Nộp qua World Learning/ĐSQ; phỏng vấn; sắp xếp trường tại Mỹ,https://exchanges.state.gov/non-us/program/global-undergraduate-exchange-program-global-ugrad,Thông báo lịch cụ thể tại website ĐSQ Mỹ tại VN,Có,Không áp dụng,Không áp dụng,,,
Davis UWC Scholars Program,Davis UWC Scholars Program (Shelby Davis & Phil Geier),Quỹ / Tổ chức,Hỗ trợ need-based do đại học đối tác cấp cho học sinh tốt nghiệp UWC,Áp dụng tại >100 trường ĐH đối tác ở Hoa Kỳ; chỉ cho cựu học sinh 18 trường UWC; tài trợ thông qua trường,Không nộp trực tiếp (xét qua ĐH đối tác & hệ UWC),—,—,—,Chưa công bố,Có,Chỉ dành cho cựu học sinh 18 trường UWC,—,Không,Mọi ngành Cử nhân tại trường đối tác,THPT (UWC) + nhập học ĐH đối tác,Không nêu,Được nhận vào ĐH đối tác; xét need-based,Hoạt động UWC/ cộng đồng,Phù hợp triết lý UWC & năng lực học thuật,Theo chính sách aid từng trường,Hồ sơ nhập học trường đối tác + hồ sơ tài chính,Apply vào trường đối tác thuộc danh sách; aid do trường xét duyệt,https://www.davisuwcscholars.org/,VN đủ điều kiện nếu là cựu UWC,Có,Không áp dụng,Không áp dụng,,,
Jardine Scholarship (Oxford & Cambridge),The Jardine Foundation,Quỹ / Tổ chức,"Toàn phần: học phí, college fees, trợ cấp sinh hoạt (stipend), IHS, vé máy bay khứ hồi","Ưu tiên bậc Cử nhân tại 8 College chỉ định (Cam: Downing, Magdalene, Peterhouse, Trinity; Ox: Exeter, Oriel, The Queen’s, Trinity); có một số suất sau ĐH",Đơn trực tuyến Jardine Foundation + nộp UCAS/Oxbridge song song,8–10,Giữa 8,Cuối 10–11 (tuỳ năm tuyển sinh),Chưa công bố,Có,"Công dân/ cư trú các nước nơi Jardines hoạt động: gồm Việt Nam, HK, TQ, ID, MY, PH, SG, TW, TH, KH, MM",ASEAN/Đông Á theo danh sách Quỹ,Không,Mọi ngành đủ điều kiện tại các College nêu,THPT (hoặc tương đương) + đỗ Oxbridge + tiêu chí lãnh đạo/quốc tịch,Không nêu,Đạt chuẩn vào Oxford/Cambridge,Hoạt động lãnh đạo/xã hội,"Lãnh đạo, cộng đồng, nhân cách, học thuật xuất sắc",Duy trì tiến độ & hạnh kiểm; theo thư mời,Đơn trực tuyến + bài luận + tham chiếu + phỏng vấn,Nộp UCAS/Oxbridge → nộp Jardine → phỏng vấn đa vòng,https://www.jardines.com/en/sustainability/our-focus-areas/shaping-social-inclusion/jardine-foundation,Prospectus nêu đầy đủ quyền lợi IHS & vé máy bay,Có,Không áp dụng,Không áp dụng,,,
Türkiye Scholarships (Türkiye Bursları),Presidency for Turks Abroad and Related Communities (YTB),Chính phủ,"Toàn phần: học phí, ký túc, bảo hiểm, khoá tiếng Thổ Nhĩ Kỳ 1 năm, vé máy bay; trợ cấp: 4.500 TL (ĐH), 6.500 TL (ThS), 9.000 TL (PhD)/tháng",Bao gồm sắp xếp nhập học & ngành; có nhiều bậc (AD/BA/MA/PhD),Cổng nộp trực tuyến Türkiye Scholarships,1–2,Đầu 1,Cuối 2 (tuỳ năm),Chưa công bố,Có,Mở cho hầu hết quốc tịch (trừ công dân Thổ Nhĩ Kỳ),—,Không,Mọi ngành (tuỳ chỉ tiêu),THPT (hoặc tương đương) + track UG có của Türkiye Bursları,Không nêu,Theo tiêu chí từng bậc,—,"Học thuật tốt, động lực, hoạt động cộng đồng",Theo thư mời và kết quả học tập hằng năm,Đơn online + bảng điểm + hộ chiếu + bài luận + (có thể) phỏng vấn,Nộp trên hệ thống → xét tuyển → phỏng vấn → đặt chỗ,https://www.turkiyeburslari.gov.tr/,Trang chính thức công bố mức trợ cấp 4.500/6.500/9.000 TL,Có,Không áp dụng,Không áp dụng,,,
Cambridge Commonwealth,European & International Trust Scholarships (The Cambridge Trust),University of Cambridge – Cambridge Trust,Trường,Đa số là bán phần (part-cost); giá trị thay đổi theo chương trình & đối tác,~500 suất mới/năm; tổng 1.100–1.400 SV đang hưởng; phối hợp nhiều đối tác; có học bổng riêng theo quốc tịch/ngành,Tự động/đơn qua cổng Cambridge + “Trust’s Scholarship Search”,9–1 (PG) / 9–10 (UG),Theo mốc Cambridge,Theo mốc Cambridge,~500 suất mới/năm,Có,SV quốc tế được nhận vào Cambridge,—,Không,THPT (hoặc tương đương) + đỗ Cambridge (theo quỹ),Cử nhân/Thạc sĩ/PhD,Không nêu,Xếp hạng hồ sơ cao theo Khoa/College,—,Thành tích học thuật xuất sắc,Theo điều kiện từng quỹ/học bổng cụ thể,Hồ sơ Cambridge + biểu mẫu tài trợ (nếu yêu cầu),Ứng tuyển Cambridge → xét tự động/đơn riêng tùy học bổng,https://www.cambridgetrust.org/scholarships,Thông tin tổng thể tại mục International Students – Cambridge,Có,Không công bố chung,Không công bố,,
Orange Tulip Scholarship (Vietnam stream),Nuffic (Study in NL) phối hợp các ĐH Hà Lan,Quỹ / Tổ chức,Chủ yếu miễn/giảm một phần học phí (25%–100%) tuỳ trường/ ngành,Quản lý bởi Neso/Study in NL; danh mục học bổng & mức miễn giảm khác nhau theo từng trường Hà Lan tham gia,Đơn theo từng trường + nộp qua đầu mối OTS,Nhiều đợt (thường 1–4),Tuỳ trường Hà Lan tham gia,Tuỳ trường Hà Lan tham gia,Chưa công bố,Có,Chỉ công dân tại nước có OTS (có Việt Nam); chưa từng học/ làm việc tại NL,—,Có,Chỉ các chương trình do trường tham gia OTS công bố,THPT (Việt Nam) + thư mời/điều kiện từ ĐH Hà Lan đối tác OTS,Không nêu,Được nhận có điều kiện vào chương trình ở NL,—,Học thuật tốt; điều kiện riêng theo từng trường,Theo thư mời của từng trường,Hồ sơ nhập học + bộ hồ sơ OTS của trường/đầu mối,Apply chương trình NL → nộp OTS theo hướng dẫn của trường/đầu mối,https://www.studyinnl.org/finances/scholarships,Ví dụ trang OTS Vietnam: xem các trường (ví dụ Maastricht University),Có,Không áp dụng,Không áp dụng,,,
