Scholarship_Name,Tổ chức cấp học bổng,Scholarship_Type,Mức tài trợ,Chi tiết tài trợ,Hình thức mở đơn,Tháng mở đơn (thường niên),Ngày bắt đầu nhận hồ sơ,Ngày kết thúc nộp hồ sơ,Số lượng suất (nếu có),Dành cho sinh viên Việt Nam,,Object limitation,List of restricted subjects (if any),Department restrictions,List of specific industries/groups,Required qualifications,Required qualifications,Minimum GPA,Ranking requirements / field of study,Required experience,Competencies & Achievements (requirements.competencies),Scholarship renewal conditions,Required documents,Required documents,Application process,Liên kết học bổng (URL),Notes ,Annual (Yes/No/Unknown),% of students in the whole school receive financial aid,Average school-wide support level,,,
KU Leuven ASEAN Scholarship,KU Leuven,university,"Full tuition waiver plus €4,000 one-time grant",For Master/Advanced Master programs; 1 scholarship/year; funded by the KU Leuven International Scholarship Fund,Separate application on the KU Leuven scholarship portal,10,October 15,January 15,1 place/year,yes,,Citizens of Southeast Asia (including Vietnam),"ASEAN (Brunei, Cambodia, Indonesia, Laos, Malaysia, Myanmar, Philippines, Thailand, Vietnam)",yes,Eligible Master's/Advanced Master's programs,High school (or equivalent) + KU Leuven admission (according to program),High school (or equivalent) + KU Leuven admission (according to program),Not stated,Strong academic record,—,"Academic achievement, motivation, program fit",Subject to scholarship conditions; applicable for program duration,Online application + academic records + (possibly) references,Online application + academic records + (possibly) references,Create “scholarship candidacy” → select eligible programs → submit before January 15,https://www.kuleuven.be/scholarships/year/2026-2027/ku-leuven-asean-scholarship,2026–27 page opens October 15; has list of eligible programs,yes,Not published yet,Not published yet,,,
Mastercard Foundation Scholars Program,,fund / organization,Google (operated with IIE), , , , , , , ,, , , , ,High school (or equivalent) + admission to MCF partner school + financial/social conditions,High school (or equivalent) + admission to MCF partner school + financial/social conditions, , , , , , , , ,, , , , ,,,
Generation Google Scholarship (APAC),EMEA,fund / organization,Covers tuition and stipend (as described in the program); includes A-levels to university pathway,,"APAC: USD 2,500; EMEA: ~EUR 7,000; NA: USD 10,000 (per year)",Support for 1 year of study; based on academic achievement,leadership and/or financial needs; some areas prioritize women in IT,Online application by region (APAC/EMEA/NA),APAC: 2–4; EMEA: 3–5; NA: 12–1,Depending on the area,,Depending on the area,Not published yet,yes,By region of study (APAC/EMEA/NA); some branches for female CS majors,High school (or equivalent) + currently/preparing to study CS/related (maybe currently a student),High school (or equivalent) + currently/preparing to study CS/related (maybe currently a student),yes,"Computer Science, Software Engineering, or related field",Bachelor's/Master's,Not stated,Qualify for CS/related training programs,Community/tech activities/contributions,Community/tech activities/contributions,"Strong academics, leadership, commitment to diversity & equity",,Online application + transcript + CV + essay; financial proof may be required,Submit on regional portal (Google/IIE) as scheduled,https://www.google.com/about/careers/applications/buildyourfuture/scholarships/generation-google-scholarship-apac,Amounts vary by region,Có,Không áp dụng,Không áp dụng
Shell Scholarship (Undergraduate) – Malaysia,Shell Malaysia,fund / organization,"Depends on district fund (may cover tuition, research, or short-term study)",Tuition fees and allowances for A-levels and undergraduate studies at local/foreign universities; priority fields are Engineering/Science/Commerce,Apply online on Shell Malaysia website,4–5 (according to SPM results),By SPM result date (April–May),Rolling in the opening wave,Not published yet,yes,,Residing/studying in Malaysia; eligible to work in the scholarship country,—,yes,"Engineering, Data Science/Geology, Business/Digital Marketing",High School (Malaysia) + relevant major (nationality/regional requirements),High School (Malaysia) + relevant major (nationality/regional requirements),High SPM/O-level scores (≈8A or above),—,"Extracurricular activities, leadership","Good academics, leadership, suitable for energy industry",According to scholarship contract & progress criteria,Online application + transcript + multi-round assessment,Online application + transcript + multi-round assessment,Register on Shell portal → multi-round evaluation → offer,https://www.shell.com.my/about-us/careers/students-and-graduates/scholarships.html,"For example, the Malaysian branch; Shell has many branches by country.",yes,Not applicable,Not applicable,,,
Rotary District Grants (Potential Undergraduate Funding),Rotary International (qua các District),fund / organization,"International students outside the EU (most cases): ~€934/month (B/M) and €1,200/month plus €100 mobility (PhD) and allowances; EU/German students: per BMBF standard plus €300 for books",District Grants can fund college/university/graduate level,Duration from 6 weeks to ≥1 year; application required through local Rotary,Apply through your local Rotary Club/District,Depending on District,Depending on District,Depending on District,Not published yet,,yes,Subject to District/Club regulations; not open to Rotarians/immediate family,—,,High school (or equivalent) + according to local Rotary fund criteria,High school (or equivalent) + according to local Rotary fund criteria,College/Bachelor's degree or higher,Not stated,Aligns with Rotary's community priorities,Community activities,Commitment to community service and ethics,As per District funding regulations (reporting/progress),As per District funding regulations (reporting/progress),District application form + Club recommendation letter,Liên hệ Rotary Club/District tại nơi cư trú để được bảo trợ nộp grant,https://www.rotary.org/en/our-programs/scholarships,Level/cycle varies greatly by District,yes,Not applicable,Không áp dụng,,
Heinrich Böll Scholarships (All Levels),Heinrich Böll Stiftung (Đức),government,"Up to USD 5,000 (plus up to USD 3,000 for Critical Need Language; plus USD 1,000 STEM supplement)",Standard semester funding; German language requirement (usually DSH-2/TestDaF B2) and social-environmental commitment; no tuition fees in Germany (some exceptions when studying outside Germany),The Fund's online submission portal,3–4 and/or 9–10 (depending on the batch),According to each announcement,According to each announcement,"~1,500 places/year (total B/M/PhD)",yes,,All nationalities; study at a recognized institution in Germany; German language required,—,no,All industries (priority based on Fund value),Non-Bachelor's degree (mainly Master/PhD),Non-Bachelor's degree (mainly Master/PhD),Not stated,High academic achievement; German B2+,Social/political activities,"Commitment to democracy, human rights, ecology, and justice",As per annual regulations; renewable within the program standard period,Online application + language proof + CV + motivation letter + recommendation letter,Online application + language proof + CV + motivation letter + recommendation letter,Submit on the Fund portal according to schedule → preliminary selection → interview/evaluation → result,https://www.boell.de/en/scholarships,Different levels of detail according to EU/Non-EU subjects,yes,Not applicable,Not applicable,,,
Benjamin A. Gilman International Scholarship Program,U.S. Department of State (ECA) – IIE quản lý,government,"One-semester exchange: tuition, housing, meals, airfare, insurance, monthly stipend","Support US students with Pell Grant to study abroad/internship for credits; ~3,000 places/year; 2 main cycles/year (usually 10 & 3)",Gilman Online Application Portal,1 & 8–10 (2 cycles per year),Mid 1 (for March deadline),3-digit (e.g. 05/03/2026) & 10-digit (depending on the year),"~3,000",no,,"Only US citizens/nationals, receiving Pell Grant",—,no,All majors (credit programs),Currently a university student in the US + US citizen/PR (short-term study abroad),Currently a university student in the US + US citizen/PR (short-term study abroad),Not stated,Receiving Pell Grant; good grades/progress,—,Persuasive essay; prioritize diversity/less popular destinations,As per award guidelines; once/lifetime,Online application + transcript + advisor certification,Online application + transcript + advisor certification,Register on the portal → advisor confirmation → selection,https://www.gilmanscholarship.org/,For US citizens; given for standard reference only.,yes,Not applicable,Not applicable,,,
Global Undergraduate Exchange Program (Global UGRAD),U.S. Department of State (ECA) – World Learning,fund / organization,Need-based support granted by partner universities for UWC graduates,No degree; requires at least 1 year of schooling in home country after graduation; open by country (including Vietnam),World Learning Portal/US Embassy in each country,10–11 (VN usually 11),As per notice (e.g. 11/13/2024),As announced (late 12-1),Not published yet,yes,,Nationality: ≥18 years old; full-time university student; English proficiency required (training available),List of participating countries (including Vietnam),no,All Bachelor's degrees (non-degree in the US),"Currently a university student (year 1-3) in the host country (exchange, no degree granted)","Currently a university student (year 1-3) in the host country (exchange, no degree granted)",Not stated,Full-time student; 1 year remaining at home school,Community activities,"Good academics, community involvement, adaptability",No renewal (1 term),Online application + transcript + essay + supporting documents,Online application + transcript + essay + supporting documents,Apply through World Learning/Embassy; interview; arrange school in the US,https://exchanges.state.gov/non-us/program/global-undergraduate-exchange-program-global-ugrad,Specific schedule announcement on the website of the US Embassy in Vietnam,yes,Not applicable,Not applicable,,,
Davis UWC Scholars Program,Davis UWC Scholars Program (Shelby Davis & Phil Geier),fund / organization,"Full scholarship: tuition, college fees, living stipend, IHS, round-trip airfare",Available at >100 partner universities in the US; available to 18 UWC alumni only; funded through school,No direct application (reviewed through partner universities & UWC system),—,—,—,Not published yet,yes,,For 18 UWC alumni only,—,no,All Bachelor's degrees at partner schools,High School (UWC) + admission to partner university,High School (UWC) + admission to partner university,Not stated,Admitted to a partner university; need-based,UWC/Community Activities,Alignment with UWC philosophy & academic ability,According to each school's aid policy,Partner school admission documents + financial documents,Partner school admission documents + financial documents,Apply to a partner school on the list; aid is approved by the school,https://www.davisuwcscholars.org/,VN qualifies if it is a former UWC,yes,Not applicable,Not applicable,,,
Jardine Scholarship (Oxford & Cambridge),The Jardine Foundation,government,"Full scholarship: tuition, dormitory, insurance, one-year Turkish language course, airfare; allowance 4,500 TL (undergraduate), 6,500 TL (master’s), 9,000 TL (PhD) per month","Priority for undergraduate degrees at 8 designated colleges (Cam: Downing, Magdalene, Peterhouse, Trinity; Ox: Exeter, Oriel, The Queen’s, Trinity); some postgraduate places available",Jardine Foundation online application + parallel UCAS/Oxbridge application,8–10,Between 8,End of 10-11 (depending on year of admission),Not published yet,yes,,"Citizens/residents of countries where Jardines operates: including Vietnam, HK, China, ID, MY, PH, SG, TW, TH, KH, MM",ASEAN/East Asia by Fund List,no,All eligible majors at the listed Colleges,High school (or equivalent) + Oxbridge pass + leadership/nationality criteria,High school (or equivalent) + Oxbridge pass + leadership/nationality criteria,Not stated,Qualified for Oxford/Cambridge,Leadership/Social Activities,"Leadership, community, character, academic excellence",Maintain progress & conduct; by invitation,Online application + essay + references + interview,Online application + essay + references + interview,Apply to UCAS/Oxbridge → apply to Jardine → multi-round interview,https://www.jardines.com/en/sustainability/our-focus-areas/shaping-social-inclusion/jardine-foundation,Prospectus outlines full IHS benefits & airfare,yes,Not applicable,Not applicable,,,
Türkiye Scholarships (Türkiye Bursları),Presidency for Turks Abroad and Related Communities (YTB),fund / organization,University,Includes admission & major placement; multiple levels available (AD/BA/MA/PhD),Türkiye Scholarships Online Application Portal,1–2,Head 1,End of 2 (depending on the year),Not published yet,yes,,Open to most nationalities (except Turkish citizens),—,no,All industries (depending on targets),High school (or equivalent) + UG track from Türkiye Bursları,High school (or equivalent) + UG track from Türkiye Bursları,Not stated,According to each level criteria,—,"Good academics, motivation, community activities",According to invitation letter and annual academic results,Online application + transcript + passport + essay + (possibly) interview,Online application + transcript + passport + essay + (possibly) interview,Submit on the system → selection → interview → reservation,https://www.turkiyeburslari.gov.tr/,"Official website announces subsidy levels 4,500/6,500/9,000 TL",yes,Not applicable,Not applicable,,,
Cambridge Commonwealth,European & International Trust Scholarships (The Cambridge Trust),fund / organization,Mainly partial tuition waivers (25%–100%) depending on university or major,Most are part-cost; value varies by program & partner,"~500 new scholarships/year; total 1,100–1,400 students currently benefiting; coordinated with many partners; has separate scholarships by nationality/major",Automatic/Cambridge Gateway application + “Trust’s Scholarship Search”,9–1 (PG) / 9–10 (UG),According to Cambridge landmark,According to Cambridge landmark,~500 new positions/year,,yes,International students admitted to Cambridge,—,,High school (or equivalent) + Cambridge pass (according to fund),High school (or equivalent) + Cambridge pass (according to fund),Bachelor's/Master's/PhD,Not stated,High profile ranking by Faculty/College,—,Excellent academic achievements,According to the conditions of each specific fund/scholarship,According to the conditions of each specific fund/scholarship,Cambridge Profile + Sponsorship Form (if required),Ứng tuyển Cambridge → xét tự động/đơn riêng tùy học bổng,https://www.cambridgetrust.org/scholarships,General information in the International Students section – Cambridge,yes,Not publicly available,Không công bố,,
Orange Tulip Scholarship (Vietnam stream),Nuffic (Study in NL) phối hợp các ĐH Hà Lan,fund / organization,Covers tuition or stipend (based on category),Managed by Neso/Study in NL; scholarship list & exemption levels vary by participating Dutch school,Application by school + submit through OTS contact,Multiple doses (usually 1–4),Depending on the participating Dutch school,Depending on the participating Dutch school,Not published yet,yes,,Only citizens of countries with OTS (including Vietnam); have never studied/worked in NL,—,yes,Only programs published by schools participating in OTS,High School (Vietnam) + invitation letter/conditions from OTS partner university in the Netherlands,High School (Vietnam) + invitation letter/conditions from OTS partner university in the Netherlands,Not stated,Conditional admission to the program in NL,—,Good academics; specific requirements vary by school,According to the invitation of each school,Admission documents + OTS documents of the school/contact person,Admission documents + OTS documents of the school/contact person,Apply for NL program → submit OTS according to the instructions of the school/contact person,https://www.studyinnl.org/finances/scholarships,"For example, OTS Vietnam page: view schools (e.g. Maastricht University)",yes,Not applicable,Not applicable,,,
Shell Scholarship (Undergraduate) – Nigeria,Shell Nigeria,fund / organization,"Full scholarship (through partner universities or NGOs): tuition, living expenses, airfare, comprehensive support",There are many categories (Secondary/University) for the local community; very large numbers each year at the high school level; the university level has its own branch,Application as per Shell Nigeria guidelines,6–9 (depending on the batch),Depending on the notification,Depending on the notification,Not published yet,yes,,Often prioritizing the community of Shell's operating area in Nigeria,Host states,Yes (by priority industry),Engineering/Science and related fields (depending on batch),High School (Nigeria) + nationality/major requirements,High School (Nigeria) + nationality/major requirements,Not stated,—,—,—,By invitation,Online application/through community contact,Online application/through community contact,https://www.shell.com.ng/sustainability/communities/education-programmes/scholarships.html,Bản tham chiếu để bạn đối chiếu khác quốc gia,yes,Not applicable,Not applicable, ,,,
Mastercard Foundation Scholars Program,Mastercard Foundation,fund / organization,Google (in cooperation with IIE),Apply directly to the school/partner unit on the list; benefits and schedule depend on each partner,Submit to partner school/NGO,Depends on the partner,Depends on the partner,Depends on the partner,Not published yet,no,,Mainly African nationals under the scope of the program,List of partners on the program page,no,Depends on each partner,High school (or equivalent) + admission to MCF partner school,High school (or equivalent) + admission to MCF partner school,Not stated,Meet the admission standards of partner schools,—,"Good academics, leadership, community involvement",According to the regulations of each partner,Admission application + scholarship application according to partner's instructions,Admission application + scholarship application according to partner's instructions,Select a school from the partner list → follow the instructions,https://mastercardfdn.org/en/what-we-do/our-programs/mastercard-foundation-scholars-program/,"Umbrella program, no common submission portal",yes,Not applicable,Not applicable,,,
Generation Google Scholarship (APAC),EMEA,fund / organization,Covers tuition and stipend (A-levels to university),Fund / Organization,"APAC: USD 2,500; EMEA: ~EUR 7,000; NA: USD 10,000 (1 year)","1-year support; criteria: academic achievement, leadership/contribution, financial need may be considered; some branches are for women in IT",Online application by region,2–5 (depending on the area),According to regional announcement,According to regional announcement,,Not published yet,yes,By school region (APAC/EMEA/NA),—,High school (or equivalent) + according to industry requirements/currently a student,High school (or equivalent) + according to industry requirements/currently a student,Computer Science/Software Engineering/Related,Bachelor,Not stated,Currently studying/wanting to study CS related major,Community/Technology Activities,"Strong academics, leadership, diversity & inclusion","Strong academics, leadership, diversity & inclusion",1 year; can reapply next season if qualified,Đơn online + bảng điểm + CV + bài luận (+ chứng minh tài chính nếu yêu cầu),Submit on Google/IIE regional portal,https://www.google.com/about/careers/applications/buildyourfuture/scholarships/generation-google-scholarship-apac,Amounts vary by region,yes,Không áp dụng,Không áp dụng,
Shell Scholarship (Undergraduate – Malaysia),Shell Malaysia,fund / organization,"Depends on district fund; may cover tuition, research, or short-term programs",Priority given to Engineering/Science/Commerce; very high SPM/O-level performance required; multiple rounds of assessment,Online application,4–5,By SPM result date,Rolling according to the announcement,Not published yet,yes,,Eligible candidates in Malaysia,—,yes,Engineering/Science/Business (depending on the year),High school (Malaysia) + related major,High school (Malaysia) + related major,Very high SPM/O-level scores,—,"Extracurricular activities, leadership","Strong academics, leadership, suitable for energy industry",According to contract/learning progress,Online application + multi-round evaluation,Online application + multi-round evaluation,Register on Shell portal → test/assessment → interview,https://www.shell.com.my/about-us/careers/students-and-graduates/scholarships.html,"For example, the Malaysian branch; Shell has many branches by country.",yes,Not applicable,Not applicable,,,
Rotary District Grants (Potential Undergraduate Funding),Rotary International (qua các District),fund / organization,"About 1,500 awards per year; stipend per BMBF scale (B/M) and €1,200/month plus allowance (PhD)","Small scale, short term (≥6 weeks to ≥1 year); apply through local Rotary Club/District",Submit through Rotary Club/District,Depending on District,Depending on District,Depending on District,Not published yet,yes,,Subject to District/Club regulations; not open to Rotarians/immediate family,—,no,All industries (depending on the proposal),High school (or equivalent) + according to local Rotary fund criteria,High school (or equivalent) + according to local Rotary fund criteria,Not stated,Aligns with Rotary's priority areas,Community activities,Commitment to community service and ethics,According to District funding regulations,District application form + Club recommendation letter,District application form + Club recommendation letter,Contact your local Rotary Club for grant sponsorship.,https://www.rotary.org/en/our-programs/scholarships,Level/cycle varies by District,yes,Not applicable,Not applicable,,,
Heinrich Böll Scholarships (All Levels – DE),Heinrich Böll Stiftung,government,"Up to USD 5,000 (plus up to USD 3,000 for Critical Need Language; plus USD 1,000 STEM supplement)","Requires German language proficiency (usually B2/DSH-2), social-environmental commitment; **NOT** open to international Bachelors in Germany (international undergrads are not eligible)",Online submission portal,3 & 9,~6 weeks before the gate opening date,March 1 & September 1,"~1,500/year",no,,No international Bachelor's applications accepted in Germany,—,no,—,Non-Bachelor's degree (mainly Master/PhD),Non-Bachelor's degree (mainly Master/PhD),—,—,—,—,—,For B/M/PhD only (not applicable for international Bachelor's degree),For B/M/PhD only (not applicable for international Bachelor's degree),—,https://www.boell.de/en/scholarships,Important: NOT applicable to international Bachelors,yes,Not applicable,Not applicable,,,
Benjamin A. Gilman International Scholarship Program,U.S. Department of State (ECA) – IIE,government,"One-semester exchange: tuition, housing, meals, airfare, insurance, stipend",For US citizens receiving Pell Grants for study abroad/credit-bearing internships; ~2 times/year,Gilman Online Application Portal,1 & 8–10,Between 1 (for term 3),3 &/or 10 head,"~3,000/year",no,,US citizens only; Pell Grant recipients,—,no,All majors (credit programs),Currently a university student in the US + US citizen/PR,Currently a university student in the US + US citizen/PR,Not stated,Receiving Pell Grant; progress is good,—,Persuasive essay; prioritize diversity/less popular destinations,According to the award conditions (once/lifetime),Online application + transcript + advisor certification,Online application + transcript + advisor certification,Submit portal → advisor confirmation → selection,https://www.gilmanscholarship.org/,Taken as a standard reference,yes,Not applicable,Not applicable,,,
Global Undergraduate Exchange Program (Global UGRAD),U.S. Department of State (ECA) – World Learning,fund / organization,Need-based support from partner universities for former UWC students,No degree granted; requires ≥1 year remaining at home school after graduation; includes Vietnam in the list,World Learning Portal/US Embassy,10–11 (VN usually 11),According to the announcement,End 12–1,Not published yet,yes,,Citizens of participating countries; ≥18 years old; full-time students; English proficiency required (training available),Vietnam is on the list,no,All majors (non-degree in the US),"Currently a university student (year 1-3) (exchange, no degree)","Currently a university student (year 1-3) (exchange, no degree)",Not stated,Full-time study; 1 year remaining in program,Community activities,"Good academics, adaptable, contributing",No renewal (1 term),Online application + transcript + essay + supporting documents,Online application + transcript + essay + supporting documents,Apply through World Learning/Embassy; interview; arrange school in the US,https://exchanges.state.gov/non-us/program/global-undergraduate-exchange-program-global-ugrad,According to the yearly calendar,yes,Not applicable,Not applicable,,,
