Scholarship_Name,Tổ chức cấp học bổng,Loại học bổng,Mức tài trợ,Chi tiết tài trợ,Hình thức mở đơn,Tháng mở đơn (thường niên),Ngày bắt đầu nhận hồ sơ,Ngày kết thúc nộp hồ sơ,Số lượng suất (nếu có),Dành cho sinh viên Việt Nam,Giới hạn đối tượng,Danh sách giới hạn đối tượng (nếu có),Giới hạn ngành nghề,Danh sách nhóm ngành / ngành cụ thể,Bằng cấp yêu cầu,GPA tối thiểu,Yêu cầu xếp hạng / liên quan ngành học,Kinh nghiệm yêu cầu,Năng lực & thành tích (requirements.competencies),Điều kiện gia hạn học bổng,Hồ sơ yêu cầu,Quy trình nộp hồ sơ,Liên kết học bổng (URL),Ghi chú (nếu có),Thường niên (Có/Không/Chưa rõ),,,
Colombia Government Scholarship (for foreigners),ICETEX (Colombia),Chính phủ,Miễn học phí + trợ cấp sinh hoạt + bảo hiểm + vé máy bay (theo call),Becas Colombia para Extranjeros: có Master’s/Spanish courses,Cổng ICETEX,3–6,Theo call,Theo call,Chưa công bố,Có,Công dân các nước (ngoài Colombia),—,Có giới hạn,Theo danh mục trường/ chương trình,Cử nhân (hoặc tương đương),Không nêu,Theo yêu cầu trường/ICETEX,—,Học thuật & động lực,Theo call,Đơn online + hồ sơ,ICETEX xét & công bố,https://portal.icetex.gov.co/Portal/Home/HomeEstudiante/becas-exterior/becas-para-extranjeros,Trang chính thức ICETEX,Có,,,
Thailand International Postgraduate Programme (TIPP),Thailand International Cooperation Agency (TICA),Chính phủ,Toàn phần: học phí + trợ cấp sinh hoạt + vé máy bay + bảo hiểm,Theo **chuyên đề/khóa** của bộ ngành Thái; ứng viên do cơ quan nhà nước cử/giới thiệu,Cổng TICA + đề cử cơ quan,1–3,Theo call,Theo call,Chưa công bố,Có,Ưu tiên công chức/viên chức được cơ quan cử,—,Có,Theo chủ đề phát triển do TICA công bố,Cử nhân (hoặc tương đương),Không nêu,Theo tiêu chí từng khóa,Kinh nghiệm công tác,"Năng lực công vụ, phát triển",Theo thư mời,Hồ sơ TICA + thư đề cử,Nộp qua cơ quan → TICA xét,https://tica-thaigov.mfa.go.th/en/page/tipp,Chương trình định hướng phát triển,Có,,,
Kemitraan Negara Berkembang (KNB) Scholarship,Indonesia – Kemdikbudristek,Chính phủ,Toàn phần: học phí + trợ cấp hàng tháng + vé máy bay + bảo hiểm,Chủ yếu Master/PhD; một số trường có khóa dự bị tiếng,Cổng KNB + thư giới thiệu ĐSQ,2–5,Theo call,Theo call,Chưa công bố,Có,Công dân các nước đang phát triển (có VN),—,Có,Theo danh mục trường/ngành KNB,Cử nhân (hoặc tương đương),Không nêu,Theo call từng năm,—,Học thuật & động lực,Theo quy định,Đơn online + thư giới thiệu,Theo call,https://knb.kemdiktisaintek.go.id/,Trang chính thức KNB,Có,,,
Australia Research Training Program (RTP) Scholarships,Australian Government (qua các ĐH),Chính phủ,Miễn học phí (RTP Fees Offset) + **stipend** (mức do ĐH công bố),Áp dụng **Master by Research/PhD**; nộp tại **đại học** (không có cổng chung),Đơn tại đại học tiếp nhận,Quanh năm (tuỳ ĐH),Theo trường,Theo trường,Chưa công bố,Có,SV quốc tế Master by Research/PhD,—,Có,Research fields theo từng ĐH,Cử nhân (hoặc tương đương),Không nêu,Theo chuẩn tuyển sinh HDR,Nghiên cứu,Thành tích nghiên cứu,Theo điều kiện ĐH,Hồ sơ HDR + form RTP,Nộp tại ĐH; ĐH phân bổ RTP,https://www.education.gov.au/research-block-grants/research-training-program,Chỉ **research Master/PhD**,Có,,,
Azerbaijan Government Scholarship (Educational Grant for OIC/NAM),Government of Azerbaijan (MFA – AIDA),Chính phủ,Miễn học phí + trợ cấp sinh hoạt + vé máy bay + bảo hiểm,Dành cho công dân các nước **OIC/NAM**; có Master/PhD,Đề cử bởi cơ quan nhà nước + nộp theo hướng dẫn,1–6,Theo call,Theo call,Chưa công bố,Có,Công dân OIC/NAM,Danh sách nước OIC/NAM,Không,Theo danh mục ĐH ở Azerbaijan,Cử nhân (hoặc tương đương),Không nêu,Theo yêu cầu chương trình,—,Học thuật & động lực,Theo quy định,Hồ sơ theo mẫu MFA/AIDA,Nộp qua cơ quan đề cử → AIDA xét,https://aida.mfa.gov.az/en/education,Trang AIDA – chương trình học bổng chính phủ,Có,,,
National Scholarship Programme of the Slovak Republic (NSP),Slovak Republic – SAIA,Chính phủ,Trợ cấp sinh hoạt/thực tập/giảng dạy; với Master thường dạng **trao đổi** (non-degree),Chủ yếu hỗ trợ **trao đổi ngắn hạn**; ứng viên nộp cá nhân,Cổng NSP,2–4 & 9–10,15/02–30/04 hoặc 01/09–31/10,Theo call,Chưa công bố,Có,Công dân nước ngoài,—,Có giới hạn,Trao đổi/visiting (không phải full Master),Cử nhân (hoặc tương đương),Không nêu,Được trường tiếp nhận mời/công nhận,—,Năng lực học thuật; kế hoạch học thuật,Theo quy định,Đơn + thư mời/giấy tiếp nhận,Nộp online → SAIA xét,https://www.scholarships.sk/,Đúng dạng trao đổi/visiting,Có,,,
Beijing Government Scholarship (BGS – Master),Beijing Municipal Government (qua các ĐH),Chính phủ,Miễn/giảm học phí (toàn/phần) + bảo hiểm,Nộp qua các ĐH ở Bắc Kinh (PKU/BNU…); Master tối đa 2–3 năm,Đơn qua trường tiếp nhận,3–6,Theo call trường,Theo call trường,Chưa công bố,Có,SV quốc tế non-Chinese,—,Không,Theo ngành của trường tiếp nhận,Cử nhân (hoặc tương đương),Không nêu,Theo tiêu chí đại học,—,Học thuật,Theo thư mời,Đơn trường + form BGS,Theo trường,https://english.beijing.gov.cn/studyinginbeijing/scholarshipapplications/,Trang chính phủ TP Bắc Kinh (tiếng Anh),Có,,,
Romanian Government Scholarship (MFA/Study in Romania),Romania – MFA,Chính phủ,Miễn học phí + ký túc + trợ cấp theo bậc; học bằng **tiếng Romania** (có năm dự bị),Có Master/PhD; nộp trên cổng Study in Romania,Cổng trực tuyến,1–3,Theo call,Theo call,Chưa công bố,Có,Công dân ngoài EU,—,Không,Theo chỉ tiêu từng năm,Cử nhân (hoặc tương đương),Không nêu,Điểm TB ≥7/10 hoặc xếp loại **Good**,—,Học thuật & động lực,Theo quy định,Portal + hồ sơ,Online → xét → thông báo,https://scholarships.studyinromania.gov.ro/,Yêu cầu học bằng tiếng Romania trừ ngoại lệ,Có,,,
Swedish Institute Scholarships for Global Professionals (SISGP),Swedish Institute,Chính phủ,Toàn phần: học phí + **SEK 12.000/tháng** + bảo hiểm + vé bay + mạng lưới SI,Chỉ dành cho **Master’s**; yêu cầu kinh nghiệm làm việc & lãnh đạo,Đơn SI + hồ sơ UniversityAdmissions.se,1–2,Theo call SI,Theo call SI,~350–400/năm,Có,Công dân các nước trong danh sách SI,Danh sách quốc gia theo năm,Có,Theo danh mục Master eligible,Cử nhân (hoặc tương đương),Không nêu,Kinh nghiệm làm việc tối thiểu (thường ≥3.000 giờ),Kinh nghiệm làm việc,"Lãnh đạo, bền vững, tác động xã hội",Không gia hạn (1–2 năm theo chương trình),Đơn SI + hồ sơ phụ,Theo lịch SI & UA.se,https://si.se/en/apply/scholarships/swedish-institute-scholarships-for-global-professionals/,Trang chính thức SISGP,Có,,,
Global Korea Scholarship (GKS),NIIED (Republic of Korea),Chính phủ,Toàn phần: học phí + trợ cấp sinh hoạt + KTX + vé máy bay + bảo hiểm,Đường **ĐSQ** và **ĐH**; có Master/PhD + 1 năm tiếng Hàn (thường),Đơn trực tuyến/giấy + đề cử,2–4,Theo call NIIED/ĐSQ,Theo call,~>1.000 (toàn chương trình),Có,Công dân các nước (có VN),Chỉ tiêu theo quốc gia & đại học,Không,Theo danh mục trường NIIED,Cử nhân (hoặc tương đương),Không nêu,Theo tiêu chí NIIED/ĐH,—,Học thuật & động lực,Theo quy định,Đơn + hồ sơ theo track,ĐSQ/ĐH xét → NIIED phê duyệt,https://www.studyinkorea.go.kr/ko/scholarship/GksGuide.do,Cổng chính thức GKS/NIIED,Có,,,
Czech Government Scholarship (Developing Countries),Czech Republic – MEYS,Chính phủ,Miễn học phí + trợ cấp **CZK 12.000–14.000/tháng** (tuỳ bậc),Chủ yếu Master/PhD (dạy tiếng Séc; có dự bị),Cổng trực tuyến,4–9,Theo call,**30/09** (cho năm học sau),Hàng trăm,Có,Công dân các nước đang phát triển (có VN),Danh sách ưu tiên theo MEYS,Có giới hạn,Theo ngành ưu tiên,Cử nhân (hoặc tương đương),Không nêu,Theo tiêu chí MEYS & trường,—,Học thuật/tiềm năng,Theo quy định,Đơn online + hồ sơ,Theo call,https://msmt.gov.cz/eu-and-international-affairs/government-scholarships-developing-countries,Trang chính thức MEYS,Có,,,
Qatar Scholarships (multi-partner),Qatar Scholarships (EAA & các ĐH đối tác),Chính phủ/Quỹ,Miễn học phí + trợ cấp (tuỳ ĐH/ chương trình),Một số trường có bậc Master; danh mục theo năm,Đơn qua chương trình/ĐH đối tác,3–6,Theo đợt,Theo đợt,Chưa công bố,Có,Công dân các nước đang phát triển,Theo từng chương trình,Có,Theo danh mục ngành từng ĐH,Cử nhân (hoặc tương đương),Không nêu,Theo tiêu chí từng ĐH,—,Học thuật & động lực,Theo từng chương trình,Hồ sơ ĐH + form học bổng,Theo danh mục,https://www.qatarscholarships.qa/,Trang chương trình QS,Có,,,
Kazakhstan Government Scholarship (State grants/Bolashak – tham chiếu),Kazakhstan – IPC/ENIC,Chính phủ,Miễn học phí + trợ cấp (tuỳ scheme),Chủ yếu cho **công dân Kazakhstan**; cơ hội cho SVQT thay đổi theo năm,Đơn trực tuyến,6–8,Theo call,Theo call,Chưa công bố,Chưa rõ,Ưu tiên công dân Kazakhstan,—,Có giới hạn,Theo scheme/ĐH,Cử nhân (hoặc tương đương),Không nêu,Theo quy định sở tại,—,Học thuật,Theo quy định,Đơn online,Theo call,https://enic-kazakhstan.edu.kz/en/post/94,Theo thông tin hiện hành; cần kiểm tra call cụ thể,Chưa rõ,,,
Russian Government Scholarship (Quota/Open Doors),Rossotrudnichestvo & Global Universities,Chính phủ,Miễn học phí + ký túc + trợ cấp cơ bản (tuỳ trường),UG/Master/PhD qua **quota** đại diện Rossotrudnichestvo; **Open Doors** chủ yếu PG,Đơn online qua đại diện/quota,10–2,Theo quốc gia/đại diện,Theo đại diện,~15.000 (quota),Có,Công dân quốc tế (có VN),Chỉ tiêu theo quốc gia,Không,Theo danh mục trường Nga,Cử nhân (hoặc tương đương),Không nêu,Theo tiêu chí đại diện & trường,—,Học thuật,Theo quy định,Đơn qua đại diện/portal,Theo call,https://od.globaluni.ru/,UG qua quota; Open Doors thiên PG,Có,,,
Manaaki New Zealand Scholarships,New Zealand Ministry of Foreign Affairs and Trade (MFAT),Chính phủ,Toàn phần: học phí + sinh hoạt phí + vé máy bay khứ hồi + bảo hiểm + hỗ trợ định cư,Dành cho công dân các nước đối tác phát triển; có bậc Thạc sĩ (taught/research); ưu tiên lĩnh vực phát triển; yêu cầu cam kết quay về nước 2 năm,Đơn trực tuyến qua cổng Manaaki,1–2,Theo call,Theo call,Chưa công bố,Có,Công dân các nước đối tác (có Việt Nam tùy năm),Danh sách quốc gia theo call,Có giới hạn,"Các ngành phát triển (bền vững, kinh tế, y tế, giáo dục…)",Cử nhân (hoặc tương đương),Không nêu,Đủ điều kiện nhập học NZ + tiếng Anh đạt chuẩn IELTS/TOEFL,≥1 năm kinh nghiệm (ưu tiên),"Học thuật, lãnh đạo, cam kết phát triển",Theo quy định MFAT,Đơn online + bảng điểm + bài luận + minh chứng tiếng,Nộp qua portal Manaaki → phỏng vấn → offer,https://www.nzscholarships.govt.nz/,“Kiểm tra eligibility mỗi năm”,Có,,,
Orange Knowledge Programme (OKP),Nuffic (Netherlands),Chính phủ,Tài trợ học phí + sinh hoạt phí ngắn hạn hoặc toàn phần cho Thạc sĩ,Dành cho chuyên gia từ 55 quốc gia làm việc trong lĩnh vực phát triển; chương trình **đã kết thúc năm 2024**,Đơn qua trường đại học Hà Lan,10–2,Theo call,Theo call,0,Không,Chỉ cho chuyên gia thuộc nước ưu tiên,Danh sách quốc gia,Có giới hạn,"Theo ngành phát triển bền vững (nước, lương thực, giáo dục…)",Cử nhân + kinh nghiệm làm việc (ứng viên đang đi làm/được cơ quan cử),Không nêu,Theo yêu cầu chương trình,≥2 năm kinh nghiệm làm việc,"Năng lực lãnh đạo, phục vụ tổ chức",Không còn hiệu lực,—,—,https://www.studyinnl.org/scholarships/orange-knowledge-programme,Đã kết thúc 2024,Không,,,
VLIR-UOS Scholarships (ICP Master),VLIR-UOS (Flemish Universities Belgium),Chính phủ,Toàn phần: học phí + sinh hoạt + bảo hiểm + vé máy bay,Dành cho công dân 29 quốc gia đối tác; hỗ trợ học Thạc sĩ liên quan phát triển tại Bỉ,Đơn qua trường ICP,10–2,Theo call,Theo call,~100/năm,Chưa rõ,Công dân quốc gia đối tác (có thể không gồm VN),Danh sách quốc gia do VLIR-UOS công bố,Có,Theo chương trình ICP Master,Cử nhân (hoặc tương đương),Không nêu,Theo tiêu chí từng chương trình,Kinh nghiệm phát triển (ưu tiên),"Học thuật, cam kết phát triển",Theo trường chủ quản,Đơn + bảng điểm + bài luận,Nộp tại trường → VLIR-UOS xét,https://www.vliruos.be/en/scholarships/6,Kiểm tra eligibility quốc tịch,Có,,,
ARES Scholarships (Belgium),ARES – Académie de Recherche et d’Enseignement Supérieur,Chính phủ,Toàn phần: học phí + sinh hoạt + bảo hiểm + vé máy bay,Chương trình học bổng Master và khóa ngắn hạn cho công dân các nước đang phát triển; giới hạn danh sách quốc gia,Đơn trực tuyến ARES,9–1,Theo call,Theo call,~200/năm,Chưa rõ,Chỉ công dân quốc gia ưu tiên (VN có thể không đủ điều kiện),Danh sách quốc gia ARES,Có giới hạn,Theo danh mục chương trình ARES Master,Cử nhân (ICP Master) **/ Thạc sĩ (Advanced Master – nếu chọn track AM)**,Không nêu,Theo yêu cầu chương trình,Kinh nghiệm công tác (ưu tiên),Học thuật & động lực phát triển,Theo quy định,Đơn online + hồ sơ,Nộp trên ARES portal,https://www.ares-ac.be/en/cooperation-au-developpement/masters-and-training-courses,Kiểm tra eligibility mỗi năm,Có,,,
Islamic Development Bank (IsDB) Scholarship Program,Islamic Development Bank (IsDB),Chính phủ/Quỹ,Toàn phần: học phí + sinh hoạt + bảo hiểm + vé máy bay,Dành cho công dân nước thành viên IsDB hoặc cộng đồng Hồi giáo; có bậc Thạc sĩ; ưu tiên ngành phát triển,Đơn trực tuyến IsDB,12–2,Theo call,Theo call,Chưa công bố,Chưa rõ,Công dân nước thành viên IsDB hoặc cộng đồng Hồi giáo,Danh sách thành viên IsDB,Có,"Theo ngành phát triển (Kinh tế, Y tế, STEM…)",Cử nhân (hoặc tương đương),Không nêu,Theo yêu cầu chương trình,Kinh nghiệm (ưu tiên),"Học thuật, lãnh đạo, phục vụ xã hội",Theo IsDB,Đơn online + hồ sơ,Nộp qua IsDB portal,https://www.isdb.org/scholarships,Cần kiểm tra eligibility Việt Nam,Có,,,
Aga Khan Foundation International Scholarship,Aga Khan Foundation (AKF),Quỹ / Tổ chức,50% grant + 50% loan (cho học phí & sinh hoạt),"Chỉ dành cho công dân ở các nước AKF hoạt động (Châu Á, Châu Phi) – không mở cho Việt Nam",Đơn qua văn phòng AKF quốc gia,3–5,Theo call,Theo call,Chưa công bố,Không,Chỉ các nước trong mạng lưới AKF,Danh sách quốc gia AKF,Có giới hạn,Theo ngành được chấp nhận tại ĐH đối tác,Cử nhân (hoặc tương đương),Không nêu,Theo yêu cầu chương trình,Kinh nghiệm hoặc hoạt động xã hội,Học thuật & nhu cầu tài chính,Theo thỏa thuận AKF,Đơn + minh chứng tài chính + tham chiếu,Qua văn phòng AKF địa phương,https://www.akdn.org/our-agencies/aga-khan-foundation/international-scholarship-programme,50% grant / 50% loan,Có,,,
Rotary Peace Fellowship,Rotary International,Quỹ / Tổ chức,Toàn phần: học phí + ăn ở + vé máy bay + thực tập,"Dành cho ứng viên có 3–5 năm kinh nghiệm hòa bình/phát triển ; Master’s tại Peace Centers (Duke, Bradford, Queensland, ICU…)",Đơn online qua Rotary District,2–5,Theo call,Theo call,~130/năm,Có,Mọi quốc tịch,—,Có,"Hòa bình, phát triển, chính sách công",Cử nhân + ≥2 năm kinh nghiệm làm việc toàn thời gian,Không nêu,Phù hợp lĩnh vực và kinh nghiệm,≥3 năm kinh nghiệm,"Lãnh đạo, phục vụ cộng đồng, hòa bình",Theo thời hạn khóa học,Đơn + tham chiếu + bài luận,Rotary District → Peace Centers xét,https://www.rotary.org/en/our-programs/peace-fellowships,Cạnh tranh cao,Có,,,
Joint Japan/World Bank Graduate Scholarship (JJ/WBGSP),World Bank (JJ/WBGSP),Chính phủ/Quỹ,Toàn phần: học phí + vé máy bay + trợ cấp sinh hoạt + bảo hiểm,Dành cho công dân các nước thành viên WB (có VN); Master’s tại đại học đối tác được chỉ định,Đơn trực tuyến JJ/WBGSP,1–2 & 3–5,Theo đợt 1/2,Theo đợt 1/2,~150/năm,Có,Công dân các nước thành viên WB,Danh sách partner programs,Có,Theo danh mục partner programs,Cử nhân (hoặc tương đương),Không nêu,≥3 năm kinh nghiệm làm việc toàn thời gian,Kinh nghiệm làm việc,"Học thuật, cam kết phát triển",Theo call,Đơn + offer + minh chứng kinh nghiệm,Online → WB xét,https://www.worldbank.org/en/programs/scholarships,Có 2 đợt hàng năm,Có,,,
Asian Development Bank–Japan Scholarship (ADB-JSP),Asian Development Bank (ADB) & Chính phủ Nhật Bản,Chính phủ/Quỹ,Toàn phần: học phí + vé máy bay + trợ cấp sinh hoạt + bảo hiểm,Dành cho công dân ADB borrowing members (có VN); Master’s tại partner institutions,Đơn qua trường đối tác,1–4,Theo call,Theo call,~300/năm,Có,Công dân ADB borrowers,Danh sách partner institutions,Có,"Theo ngành ưu tiên ADB (kinh tế, quản trị, kỹ thuật)",Cử nhân (hoặc tương đương),Không nêu,Kinh nghiệm làm việc ≥ 2 năm sau ĐH,Kinh nghiệm phát triển,"Lãnh đạo, phát triển",Theo thời hạn khóa,Đơn trường + form ADB-JSP,Nộp qua trường → ADB xét,https://www.adb.org/work-with-us/careers/japan-scholarship-program,Danh sách đối tác cập nhật mỗi năm,Có,,,
Mastercard Foundation Scholars Program,Mastercard Foundation,Quỹ / Tổ chức,Toàn phần: học phí + sinh hoạt + vé máy bay + hỗ trợ toàn diện,Dành cho sinh viên châu Phi thông qua đối tác ĐH; **không mở cho VN**,Đơn tại trường đối tác,Theo đối tác,Theo đối tác,Theo đối tác,Chưa công bố,Không,Chủ yếu châu Phi,Danh sách đối tác Mastercard,Không,Theo ngành của trường đối tác,Cử nhân (hoặc tương đương),Không nêu,Theo chuẩn trường đối tác,—,"Học thuật, lãnh đạo, cộng đồng",Theo trường,Đơn + hồ sơ nhập học,Theo trường,https://mastercardfdn.org/scholars/,Kiểm tra trường đối tác,Có,,,
Commonwealth Master’s Scholarship (UK),UK FCDO / CSC,Chính phủ,Toàn phần: học phí + vé máy bay + sinh hoạt,Chỉ cho công dân Commonwealth (có VN → Không thuộc khối),Đơn online CSC,9–10,Theo call,Theo call,~700/năm,Không,Chỉ công dân Commonwealth,Danh sách quốc gia,Có,Ngành ưu tiên phát triển UK,Cử nhân (hoặc tương đương),Không nêu,Theo tiêu chí CSC,Kinh nghiệm phát triển,"Lãnh đạo, tác động phát triển",Theo quy định,Đơn + tham chiếu + đề cử,Online → CSC,https://cscuk.fcdo.gov.uk/scholarships/commonwealth-masters-scholarships/,Không áp dụng cho VN,Có,,,
